,text,confidence,pos1,pos2,pos3,pos4,lab,pos1_x,pos1_y,pos2_x,pos2_y,pos3_x,pos3_y,pos4_x,pos4_y,pos1_x_org,pos1_y_org,pos3_x_org,pos3_y_org,grp
53,BatamRp25.900,0.9867671728134155,"[249, 953]","[402, 953]","[402, 975]","[249, 975]",53,245,949,406,949,406,979,245,979,249,953,402,975,2
54,CASHBACK,0.9908546209335327,"[266, 989]","[386, 989]","[386, 1011]","[266, 1011]",54,262,985,390,985,390,1015,262,1015,266,989,386,1011,2
55,GORENG,0.998444139957428,"[711, 980]","[767, 980]","[767, 998]","[711, 998]",55,707,976,771,976,771,1002,707,1002,711,980,767,998,0
56,Koin Shopee,0.9200913310050964,"[264, 1015]","[388, 1015]","[388, 1040]","[264, 1040]",56,260,1011,392,1011,392,1044,260,1044,264,1015,388,1040,2
57,ShopeePay,0.9864616394042969,"[648, 1012]","[773, 1016]","[772, 1046]","[647, 1042]",57,644,1008,777,1012,776,1050,643,1046,648,1012,772,1046,0
58,Rp8.100/3pcs,0.9311273694038391,"[454, 1028]","[620, 1028]","[620, 1057]","[454, 1057]",58,450,1024,624,1024,624,1061,450,1061,454,1028,620,1057,0
59,RP1.000,0.9357895255088806,"[260, 1039]","[386, 1044]","[385, 1085]","[259, 1080]",59,256,1035,390,1040,389,1089,255,1084,260,1039,385,1085,2
60,RP6.200/3pcs,0.8590329885482788,"[633, 1043]","[788, 1055]","[784, 1099]","[630, 1088]",60,629,1039,792,1051,788,1103,626,1092,633,1043,784,1099,0
61,13.500,0.9805997014045715,"[1018, 1043]","[1106, 1043]","[1106, 1070]","[1018, 1070]",61,1014,1039,1110,1039,1110,1074,1014,1074,1018,1043,1106,1070,1
62,7.200/3pcs,0.9711000323295593,"[453, 1060]","[619, 1066]","[617, 1105]","[452, 1098]",62,449,1056,623,1062,621,1109,448,1102,453,1060,617,1105,0
63,RP11.500/5pcs,0.906405508518219,"[849, 1056]","[1079, 1065]","[1078, 1107]","[848, 1098]",63,845,1052,1083,1061,1082,1111,844,1102,849,1056,1078,1107,1
